district,neighborhood,total_listings,avg_price,avg_price_per_m2
 Maltepe , Çınar Mah.,24,25032.916666666668,268.91857331446363
 Ataşehir , Mevlana Mah.,2,28750.0,267.8571428571429
 Bahçelievler , Yenibosna Merkez Mah.,23,30334.08695652174,266.4238562187162
 Gaziosmanpaşa , Karayolları Mah.,13,30345.23076923077,266.1846563635192
 Maltepe , Altıntepe Mah.,58,27228.620689655174,264.48130576001813
 Güngören , Abdurrahman Nafiz Gürman Mah.,21,29922.0,263.74753243196693
 Fatih , Yedikule Mah.,14,74363.57142857143,263.30846153846153
 Arnavutköy , Çilingir Mah.,1,25000.0,263.1578947368421
 Başakşehir , Şahintepe Mah.,1,25000.0,263.1578947368421
 Şişli , Mecidiyeköy Mah.,161,22821.39751552795,261.6519412165727
 Kartal , Cumhuriyet Mah.,10,25512.5,260.69991780356116
 Üsküdar , Murat Reis Mah.,34,20686.470588235294,260.6498621761146
 Maltepe , Aydınevler Mah.,33,21798.636363636364,259.8936441400486
 Pendik , Harmandere Mah.,3,20783.333333333332,259.77633477633475
 Çekmeköy , Çamlık Mah.,3,16426.666666666668,259.64102564102564
 Kadıköy , Zühtüpaşa Mah.,11,27067.272727272728,259.20370784690203
 Bakırköy , Ataköy 2-5-6. Kısım Mah.,5,56405.0,259.0961383650323
 Beykoz , Soğuksu Mah.,13,29689.23076923077,259.0004625314449
 Ümraniye , Tatlısu Mah.,4,31325.0,258.9954703632337
 Kartal , Cevizli Mah.,10,20607.0,258.40206460206457
 Şişli , Duatepe Mah.,11,21129.090909090908,257.3752913752914
 Ümraniye , Adem Yavuz Mah.,1,18000.0,257.14285714285717
 Zeytinburnu , Gökalp Mah.,15,22957.266666666666,254.8166296561706
 Küçükçekmece , İnönü Mah.,20,22185.5,254.7643366830654
 Sancaktepe , Eyüp Sultan Mah.,4,32875.0,254.2914653784219
 Eyüpsultan , Alibeyköy Mah.,10,26775.0,252.47967293546563
 Beykoz , Fatih Mah.,7,20374.285714285714,252.4278108317517
 Çekmeköy , Taşdelen Mah.,7,26682.85714285714,250.5751263973735
 Büyükçekmece , Karaağaç Mah.,1,300000.0,250.0
 Fatih , Cankurtaran Mah.,1,20000.0,250.0
 Pendik , Bahçelievler Mah.,3,24000.0,249.42028985507247
 Bakırköy , Yenimahalle Mah.,4,25795.0,249.37468671679198
 Ümraniye , Aşağı Dudullu Mah.,6,29965.0,249.1070117685393
 Beylikdüzü , Marmara Mah.,23,38759.739130434784,249.07642355021514
 Üsküdar , Küçüksu Mah.,17,39407.64705882353,249.0700548457439
 Eyüpsultan , Güzeltepe Mah.,24,34441.875,248.78963941786904
 Beyoğlu , Örnektepe Mah.,5,22038.0,247.26268907563025
 Başakşehir , Kayabaşı Mah.,49,22716.224489795917,247.16111829057422
 Üsküdar , Bahçelievler Mah.,13,28426.923076923078,247.1567077053968
 Ümraniye , Huzur Mah.,2,19625.0,246.5686274509804
 Başakşehir , Başakşehir Mah.,22,21664.090909090908,246.17213260069423
 Küçükçekmece , Söğütlü Çeşme Mah.,3,40041.666666666664,245.84637454355766
 Fatih , Ali Kuşçu Mah.,6,19858.333333333332,245.456857956858
 Beykoz , Çengeldere Mah.,1,38000.0,245.16129032258064
 Ümraniye , Çamlık Mah.,17,22957.058823529413,244.97414288234208
 Üsküdar , Güzeltepe Mah.,17,42801.17647058824,244.94435512132083
 Fatih , Zeyrek Mah.,2,17375.0,244.79166666666669
 Esenyurt , Turgut Özal Mah.,10,15860.5,244.31098454882485
 Beykoz , Örnekköy Mah.,5,108200.0,243.61471861471858
 Kağıthane , Yahya Kemal Mah.,29,18364.103448275862,242.25333671304517
 Çekmeköy , Soğukpınar Mah.,4,29875.0,240.77699637023593
 Bayrampaşa , İsmet Paşa Mah.,5,17660.0,240.49406465916937
 Pendik , Dumlupınar Mah.,10,27619.5,240.13389934891188
 Beyoğlu , Sütlüce Mah.,6,22866.666666666668,239.40213784139019
 Beyoğlu , Kaptanpaşa Mah.,3,22833.333333333332,239.0277777777778
